id,source,timestamp,data.id,data.name,data.description,data.url,data.telephone,data.engagement_methods.type,data.engagement_methods.title,data.engagement_methods.description,data.engagement_methods.url,data.fullName,data.nickname,data.hogwartsHouse,data.interpretedBy,data.children,data.image,data.birthdate,data.index,data.expand,data.startAt,data.maxResults,data.total,data.issues.id,data.issues.key,data.issues.fields.summary,data.issues.fields.created,data.issues.fields.status.id,data.issues.fields.status.name
1,police,2026-06-09T07:03:54.300190700Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,facebook,facebook,,http://www.facebook.com/leicspolice,,,,,,,,,,,,,,,,,,
1,police,2026-06-09T07:03:54.300190700Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,twitter,twitter,,http://www.twitter.com/leicspolice,,,,,,,,,,,,,,,,,,
1,police,2026-06-09T07:03:54.300190700Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,youtube,youtube,,http://www.youtube.com/leicspolice,,,,,,,,,,,,,,,,,,
1,police,2026-06-09T07:03:54.300190700Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,rss,rss,,https://www.leics.police.uk/news/leicestershire/news/GetNewsRss/,,,,,,,,,,,,,,,,,,
1,police,2026-06-09T07:03:54.300190700Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,telephone,telephone,,,,,,,,,,,,,,,,,,,,
2,potter,2026-06-09T07:03:54.496599400Z,,,,,,,,,,Lord Voldemort,Voldemort,Slytherin,Ralph Fiennes,Delphi,https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/lord_voldemort.png,Dec 31  1926,21,,,,,,,,,,
3,jira,2026-06-09T07:03:54.943757900Z,,,,,,,,,,,,,,,,,,schema names,0,2,4745,13249927,ACCUMULO-4867,Java Collections Improvements in DefaultLoadBalancer,2019-08-09T15:30:10.000+0000,5,Resolved
3,jira,2026-06-09T07:03:54.943757900Z,,,,,,,,,,,,,,,,,,schema names,0,2,4745,13229228,ACCUMULO-4864,PATCH - Use String.replace() instead of String.replaceAll() when replaceAll() does not use a regex,2019-04-20T20:09:57.000+0000,5,Resolved
4,police,2026-06-09T07:03:56.544566400Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,facebook,facebook,,http://www.facebook.com/leicspolice,,,,,,,,,,,,,,,,,,
4,police,2026-06-09T07:03:56.544566400Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,twitter,twitter,,http://www.twitter.com/leicspolice,,,,,,,,,,,,,,,,,,
4,police,2026-06-09T07:03:56.544566400Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,youtube,youtube,,http://www.youtube.com/leicspolice,,,,,,,,,,,,,,,,,,
4,police,2026-06-09T07:03:56.544566400Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,rss,rss,,https://www.leics.police.uk/news/leicestershire/news/GetNewsRss/,,,,,,,,,,,,,,,,,,
4,police,2026-06-09T07:03:56.545080Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,telephone,telephone,,,,,,,,,,,,,,,,,,,,
5,potter,2026-06-09T07:03:56.811255300Z,,,,,,,,,,Fred Weasley,Fred,Gryffindor,James Phelps,,https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/fred_weasley.png,Apr 1  1978,3,,,,,,,,,,
6,jira,2026-06-09T07:03:57.348390200Z,,,,,,,,,,,,,,,,,,schema names,0,2,4745,13249927,ACCUMULO-4867,Java Collections Improvements in DefaultLoadBalancer,2019-08-09T15:30:10.000+0000,5,Resolved
6,jira,2026-06-09T07:03:57.348390200Z,,,,,,,,,,,,,,,,,,schema names,0,2,4745,13229228,ACCUMULO-4864,PATCH - Use String.replace() instead of String.replaceAll() when replaceAll() does not use a regex,2019-04-20T20:09:57.000+0000,5,Resolved
7,police,2026-06-09T07:03:58.929216Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,facebook,facebook,,http://www.facebook.com/leicspolice,,,,,,,,,,,,,,,,,,
7,police,2026-06-09T07:03:58.929216Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,twitter,twitter,,http://www.twitter.com/leicspolice,,,,,,,,,,,,,,,,,,
7,police,2026-06-09T07:03:58.929216Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,youtube,youtube,,http://www.youtube.com/leicspolice,,,,,,,,,,,,,,,,,,
7,police,2026-06-09T07:03:58.929216Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,rss,rss,,https://www.leics.police.uk/news/leicestershire/news/GetNewsRss/,,,,,,,,,,,,,,,,,,
7,police,2026-06-09T07:03:58.929216Z,leicestershire,Leicestershire Police,,http://www.leics.police.uk/,101,telephone,telephone,,,,,,,,,,,,,,,,,,,,
8,potter,2026-06-09T07:03:59.334534900Z,,,,,,,,,,Minerva McGonagall,Minerva,Gryffindor,Maggie Smith,,https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/minerva_mcgonagall.png,Oct 4  1935,15,,,,,,,,,,
9,jira,2026-06-09T07:03:59.644773100Z,,,,,,,,,,,,,,,,,,schema names,0,2,4745,13249927,ACCUMULO-4867,Java Collections Improvements in DefaultLoadBalancer,2019-08-09T15:30:10.000+0000,5,Resolved
9,jira,2026-06-09T07:03:59.644773100Z,,,,,,,,,,,,,,,,,,schema names,0,2,4745,13229228,ACCUMULO-4864,PATCH - Use String.replace() instead of String.replaceAll() when replaceAll() does not use a regex,2019-04-20T20:09:57.000+0000,5,Resolved
10,potter,2026-06-09T07:04:01.886545100Z,,,,,,,,,,Luna Lovegood,Luna,Ravenclaw,Evanna Lynch,,https://raw.githubusercontent.com/fedeperin/potterapi/main/public/images/characters/luna_lovegood.png,Feb 13  1981,12,,,,,,,,,,
